t_cadence,t_speed,t_watts,speed,watts,cadence,t_time,time,t_distance,distance,t_calories,calories
281,10.4,31,10.4,36,28,001_.0,0,0.00,0,1,0
28,10.4,1.._3_,10.4,36,28,1,0,0.00,0,1,0
28,0.10000000000000001,1...3_,10.4,36,28,001_10,0,0.00,0,1,0
281,10.4,31,10.4,36,28,1,0,0.00,0,1,0
281,0.104,31,10.4,36,28,1,0,0,0,1,0
28,10.4,36,10.4,36,28,1,0,0,0,1,0
281,10.4,31,10.4,36,28,1,0,0,0,1,0
281,10.4,3,10.4,36,28,1,0,0,0,0,0
281,10.4,31,10.4,36,28,100,0,0,0,0,0
281,10.4,13,10.4,36,28,1,0,0,0,1,0
28,10.4,11.300000000000001,10.4,36,28,100,0,0,0,0,0
281,10.4,31,10.4,36,28,1,0,0,0,1,0
28,10.4,31,10.4,36,28,100,0,0,0,1,0
28,10.4,31,10.4,36,28,1,0,0,0,0,0
28,10.4,31,10.4,36,28,100,0,0,0,1,0
28,10.4,31,10.4,36,28,1,0,0,0,0,0
281,10.4,31,10.4,36,28,100,0,0.00,0,1,0
281,10.4,0.31,10.4,36,28,1,0,0,0,0,0
28,10.4,1..136,10.4,36,28,-0,0,0,0,0,0
28,10.4,31,10.4,36,28,1,0,0,0,__01,0
28,10.4,31,10.4,36,28,1,0,0.00,0,0,0
28,10.4,31___,10.4,36,28,1,0,0,0,0,0
28,10.4,31,10.4,36,28,1,0,0,0,1,0
28,10.4,31,10.4,36,28,1,0,0,0,1,0
281,10.4,31,10.4,36,28,1,0,0,0,0,0
28,10.4,0.31,10.4,36,28,_001_0,0,0,0,0,0
28,10.4,1.361,10.4,36,28,001_.1,1,0,0,0,0
28,10.4,31,10.4,36,28,1,1,0,0,0,0
_2,10.4,11..131_,10.4,36,28,1,1,0,0,0,0
321,11.9,8991,11.9,49,32,1,1,0,0,0,0
32,11.9,849,11.9,49,32,1,1,0,0,0,0
321,0.11,6.49,11.9,49,32,1,1,0,0,1,0
321,..1.119,1.49,11.9,49,32,101,1,0.00,0,.-01,0
32,11.9,68491,11.9,49,32,1011,1,0,0,0.11,0
32,11.9,_491,11.9,49,32,101,1,0.00,0,.j_1,0
321,11.9,149,11.9,49,32,101,1,0.00,0,1,0
32,11.9,1.4099999999999999,11.9,49,32,1,1,0.00,0,1,0
32,11.9,6.4900000000000002,11.9,49,32,-1,1,0,0,0,0
32,11.9,841,11.9,49,32,1,1,0,0,0,0
32,11.9,8491,11.9,49,32,1,1,0,0,0,0
32,11.9,1....49,11.9,49,32,1,1,0,0,0,0
32,11.9,141__1,11.9,49,32,1,1,0,0,1,0
321,11.9,149,11.9,49,32,1,1,0,0,0,0
32,0.11,141,11.9,49,32,_001_1,1,0,0,1,0
32,11.9,1.41__1,11.9,49,32,-,1,0,0,0,0
32,11.9,11491,11.9,49,32,1,1,0,0,0,0
32,..7.n,6491,19.7,178,53,81,1,0,0,1,0
321,..11.9,b.41_1,11.9,49,32,1,1,0,0,0,0
32,11.9,1_..491,11.9,49,32,001_.1,1,0,0,j_1,0
32,11.9,41,11.9,49,32,1,1,0.00,0,d_1,0
32,11.9,41__1,11.9,49,32,1,1,0.00,0,__01,0
32,11.9,41,11.9,49,32,001_.1,1,0,0,1,0
321,11.9,1_1_1,19.0,159,51,001_.1,1,0,0,._01,0
32,11.9,1.4099999999999999,11.9,49,32,101,1,0.00,0,__01,0
321,11.9,1..491,11.9,49,32,1,1,0,0,0.1,0
32,..1_9,1491,11.9,49,32,1,1,0,0,0.1,0
32,11.9,1149,11.9,49,32,1,1,0,0,__01,0
321,11.9,1.49,11.9,49,32,001_c1,1,0.00,0,0,0
321,11,141,11.9,49,32,001__1,1,0,0,0,0
35,13.0,16,13.0,62,35,1,2,0,0,0,0
35,13.0,6,13.0,62,35,001_c1,2,0,0,0,0
35,13.0,1.6799999999999999,13.0,62,35,1,2,0,0,0,0
35,13.0,61,13.0,62,35,-_1,2,0,0,0,0
351,13,61,13.0,62,35,-,2,0,0,0,0
351,13.0,61,13.0,62,35,-,2,0.00,0,0,0
35,13.0,6,13.0,62,35,10,2,0.00,0,0,0
35,13.0,6,13.0,62,35,8102,2,0,0,0,0
35,13.0,61,13.0,62,35,102,2,0,0,0,0
351,13.0,6,13.0,62,35,81,2,0.01,1,0,0
351,13.0,0.68000000000000005,13.0,62,35,-.,2,0.01,1,0,0
351,13.0,6,13.0,62,35,_001__1,2,0.01,1,0,0
351,13.0,6,13.0,62,35,10,2,1,1,0,0
351,13.0,6,13.0,62,35,001__1,2,0.1,1,1,0
351,13.0,6,13.0,62,35,1,2,1,1,1,0
35,13.0,6,13.0,62,35,001__1,2,1,1,1,0
351,13.0,0.68000000000000005,13.0,62,35,001__1,2,1,1,0,0
351,13.0,68,13.0,62,35,_001__1,2,1,1,0,0
351,13.0,68,13.0,62,35,001__1,2,1,1,0,0
35,13.0,68,13.0,62,35,001__1,2,1,1,0,0
351,13.0,61,13.0,62,35,001__1,2,1,1,0,0
35,13.0,61,13.0,62,35,001__1,2,0.01,1,1,0
35,13.0,68,13.0,62,35,001__1,2,1,1,1,0
35,13.0,6,13.0,62,35,001__1,2,1,1,0.11,0
35,13.0,68,13.0,62,35,001__1,2,0,1,1,0
351,13.0,68,13.0,62,35,10,2,1,1,.-01,0
351,13.0,68,13.0,62,35,1,2,1,1,0,0
35,13.0,68,13.0,62,35,103,3,1,1,1,0
3,13.0,1...68_,13.0,62,35,1,3,1,1,1,0
3-11,13.7,_._,13.7,70,37,1,3,1,1,0,0
371,13.7,717,13.7,70,37,1,3,0,1,1,0
37,13.7,717,13.7,70,37,1,3,1,1,1,0
371,13.7,1717,13.7,70,37,-,3,1,1,1,0
371,13,1_717.,13.7,70,37,1,3,1,1,1,0
371,13.7,1.7,13.7,70,37,1,3,0,1,1,0
371,13.7,170,13.7,70,37,1,3,1,1,0,0
37,13.7,170,13.7,70,37,1,3,1,1,0,0
37,13.7,70,13.7,70,37,1,3,1,1,0,0
3-1_,13.7,70,13.7,70,37,1,3,1,1,0,0
371,13.7,70,13.7,70,37,1,3,1,1,0,0
371,13.7,70,13.7,70,37,-3,3,0.01,1,0,0
3-11,13,_709,13.7,70,37,1,3,1,1,1,0
37,13.7,11..70_.1,13.7,70,37,001_.3,3,1,1,1,0
371,13.7,1..70,13.7,70,37,001_.3,3,0.01,1,1,0
3-11,13.7,1..70.,13.7,70,37,81_.3,3,0.01,1,0,0
371,13.7,170,13.7,70,37,1,3,1,1,0,0
37,13.7,_..70._,13.7,70,37,103,3,1,1,1,0
3,13.7,1701,13.7,70,37,1,3,0.01,1,0,0
371,13.7,1..70_,13.7,70,37,81,3,1,1,1,0
3-11,13.7,8709,13.7,70,37,1,3,0.01,1,0,0
3-11,13.7,e70,13.7,70,37,1,3,0,1,0,0
3-1_,13.7,1.70,13.7,70,37,1,3,7,1,0,0
37,13.7,17171,13.7,70,37,1,3,0,1,.-0_,0
3-1_,13.7,17171,19.7,178,53,1,3,0.01,1,0,0
371,13.7,1..701,13.7,70,37,1,3,0.01,1,1,0
37,13.7,17,13.7,70,37,1,3,1,1,0,0
37,13.7,701,13.7,70,37,001_._,3,1,1,0,0
3,13,c.709,13.7,70,37,1,3,1,1,0,0
_1_,1_._,1.7170000000000001,19.0,159,51,104,4,1,1,0,0
41,15.2,0.89,15.2,89,41,104,4,1,1,1,0
411,15.2,e.81_,15.2,89,41,1,4,1,1,0,0
41,15.2,817,15.2,89,41,104,4,1,1,0,0
411,15.2,0.81000000000000005,15.2,89,41,1,4,0.01,1,0,0
41,15.2,0.81000000000000005,15.2,89,41,1,4,1,1,0,0
411,15.2,0.891,15.2,89,41,1,4,0.01,1,0,0
411,15.2,181,15.2,89,41,1,4,0.01,1,0,0
___411,15.2,189,15.2,89,41,1,4,7,1,0,0
411,15.2,181,15.2,89,41,1,4,0.02,2,0,0
411,15.2,18,15.2,89,41,1,4,0.02,2,0,0
411,15.2,81,15.2,89,41,17,4,0.02,2,0.1,0
411,15.2,81,15.2,89,41,1,4,0.02,2,0,0
41,15.2,181,15.2,89,41,1,4,0.02,2,1,0
411,15.2,81,15.2,89,41,-,4,0.02,2,0,0
411,15.2,81,15.2,89,41,001_1_,4,0.02,2,0,0
411,15.2,81,15.2,89,41,1,4,2,2,1,0
411,15.2,81,15.2,89,41,1,4,0.02,2,1,0
41,15.2,81,15.2,89,41,4,4,0.02,2,1,0
411,15.2,81,15.2,89,41,1,4,2,2,__01,0
411,15.2,81,15.2,89,41,1,4,0.02,2,j_1,0
411,15.2,81,15.2,89,41,1,4,0.02,2,11,0
41,15.2,81,15.2,89,41,-_,4,0.02,2,_01,0
41,15.2,81,15.2,89,41,104,4,0.02,2,8.1,0
41,15.2,81,15.2,89,41,1,4,2,2,1,0
411,15.2,81,15.2,89,41,1,4,0.02,2,1,0
411,15.2,81,15.2,89,41,81,4,0.02,2,__01,0
411,15.2,81,15.2,89,41,001_14,4,0.02,2,1,0
411,15.2,81,15.2,89,41,81,5,0.02,2,0.11,0
411,15,81,15.2,89,41,1,5,0.02,2,1,0
4,15,0.81000000000000005,15.2,89,41,_001_5,5,2,2,j1,0
42,15.6,69,15.6,96,42,1,5,0.02,2,0.1,0
42,15.6,0.91000000000000003,15.6,96,42,1,5,2,2,_1,0
42,15.6,0.91000000000000003,15.6,96,42,1,5,2,2,1,0
42,15.6,191,15.6,96,42,105,5,2,2,0.1,0
421,15.6,91,15.6,96,42,105,5,2,2,1,0
42,15.6,0.91000000000000003,15.6,96,42,1,5,2,2,0,0
421,15.6,0.91000000000000003,15.6,96,42,1,5,2,2,0,0
421,15.6,91,15.6,96,42,1,5,0.02,2,0,0
91,15.6,0.91000000000000003,15.2,89,41,001_.5,5,0.02,2,0,0
421,15.6,91,15.6,96,42,81,5,0.02,2,0,0
121,15.6,91,15.6,96,42,1,5,0.02,2,1,0
421,..1516,9,15.6,96,42,105,5,0.02,2,1,0
421,15.6,91,15.6,96,42,15,5,0.02,2,0,0
_1,15.6,96,15.2,89,41,-,5,0,2,j1,0
421,15.6,96,15.6,96,42,1,5,8,2,1,0
421,15.6,191,15.6,96,42,_001_5,5,2,2,0,0
42,15.6,196,15.6,96,42,-5,5,2,2,1,0
42,15.6,196,15.6,96,42,81,5,2,2,1,0
421,15.6,196,15.6,96,42,1,5,2,2,.j1,0
121,15.6,1.8999999999999999,15.6,96,42,1,5,2,2,1,0
42,15.6,96,15.6,96,42,-5,5,2,2,1,0
421,15.6,91,15.6,96,42,-,5,2,2,1,0
421,15.6,96,15.6,96,42,-5,5,2,2,._01,0
421,15.6,9,15.6,96,42,1,5,2,2,0.11,0
421,15.6,9,15.6,96,42,-,5,2,2,0,0
41,15.6,196,15.6,96,42,1,5,2,2,0,0
421,15.6,96,15.6,96,42,8,5,2,2,__01,0
_42_,15.6,96,15.6,96,42,1,5,2,2,11,0
4,15,696,15.2,89,41,105,5,2,2,.j1,0
451,16.7,_.161,16.7,116,45,106,6,2,2,__01,0
451,16.7,116,16.7,116,45,-,6,2,2,j1,0
45,16.7,11,16.7,116,45,0,6,0,2,0,0
451,16.7,111,16.7,116,45,1,6,0.03,3,1,0
451,16.7,111,16.7,116,45,1,6,3,3,0,0
45,0.16,11,16.7,116,45,1,6,3,3,j1,0
__451,16.7,111,16.7,116,45,1,6,3,3,1,0
151,16.7,111,16.7,116,45,1,6,3,3,0,0
451,16.7,116,16.7,116,45,1,6,3,3,1,0
451,16.7,116,16.7,116,45,1,6,0.03,3,1,0
451,16.7,116,16.7,116,45,1,6,3,3,1,0
45,16.7,111,16.7,116,45,1,6,3,3,1,0
45,16.7,111,16.7,116,45,1,6,3,3,1,0
451,16.7,111,16.7,116,45,1,6,0.03,3,0.1,0
451,16.7,,20.4,196,55,1,6,0.03,3,0,0
45,16.7,111,16.7,116,45,001_16,6,0.03,3,0,0
45,16.7,111,16.7,116,45,001_16,6,0.03,3,0,0
451,16.7,111,16.7,116,45,1,6,0.03,3,0,0
451,16.7,111,16.7,116,45,1,6,0.03,3,0,0
451,16.7,111,16.7,116,45,81_.6,6,0.03,3,0,0
451,16.7,111,16.7,116,45,-,6,0.03,3,0,0
451,16.7,111,16.7,116,45,81,6,0.03,3,0,0
45,16.7,,20.4,196,55,001_.6,6,0.03,3,1,0
451,16.7,111,16.7,116,45,-,6,3,3,0,0
451,16.7,111,16.7,116,45,001_.6,6,0.03,3,0,0
45,16.7,111,16.7,116,45,1,6,3,3,1,0
451,16.7,111,16.7,116,45,-,6,0.03,3,0,0
45,16.7,11,16.7,116,45,-111,6,3,3,0,0
45,16,111,16.7,116,45,1,6,3,3,0,0
46,17.1,18_8_,17.1,123,46,1,7,3,3,0,0
46,0.17000000000000001,12,17.1,123,46,1,7,3,3,0,0
46,17.1,12,17.1,123,46,81,7,0.03,3,0,0
461,17.1,12,17.1,123,46,0,7,3,3,j_1,0
46,17.1,12,17.1,123,46,107,7,0.03,3,1,0
46,17.1,12,17.1,123,46,1,7,3,3,0,0
461,17.1,12,17.1,123,46,-,7,0.03,3,1,0
46,17.1,12,17.1,123,46,1,7,3,3,1,0
461,17.1,12,17.1,123,46,1,7,0.03,3,1,0
46,17.1,12,17.1,123,46,1,7,0.03,3,___01,0
461,17.1,12,17.1,123,46,1,7,0.03,3,1,0
461,17.1,12,17.1,123,46,-,7,0.03,3,0,0
46,17.1,12,17.1,123,46,1,7,3,3,__01,0
46,17.1,12,17.1,123,46,1,7,3,3,0,0
46,17.1,12,17.1,123,46,-_,7,0.03,3,0,0
46,17.1,12,17.1,123,46,107,7,0.03,3,0,0
461,17.1,12,17.1,123,46,001_.1,7,3,3,0,0
91,17.1,12,18.2,143,49,1,7,3,3,0,0
461,17.1,12,17.1,123,46,81_.1,7,0.03,3,1,0
461,17.1,12,17.1,123,46,1,7,0.03,3,0,0
461,17.1,12,17.1,123,46,8107,7,3,3,1,0
461,17.1,12,17.1,123,46,1,7,0.03,3,0,0
461,17.1,12,17.1,123,46,001_.7,7,0.03,3,0,0
461,17.1,12,17.1,123,46,107,7,0.03,3,0,0
461,17.1,12,17.1,123,46,8,7,0.03,3,j1,0
461,17.1,12,17.1,123,46,1,7,3,3,j1,0
461,17.1,12,17.1,123,46,_001_7,7,3,3,0,0
461,17.1,12,17.1,123,46,107,7,3,3,0,0
461,17.1,127,17.1,123,46,1,7,3,3,__01,0
4_11,17.1,127,17.1,123,46,_001__,7,3,3,1,0
471,17.5,1_17,17.5,130,47,1,7,3,3,._01,0
47,17.5,1317,17.5,130,47,81,8,3,3,0,0
471,17.5,1317,17.5,130,47,1,8,4,4,0,0
47,17.5,1317,17.5,130,47,1,8,4,4,j1,0
471,17.5,1317,17.5,130,47,-8,8,4,4,0,0
47,17.5,1317,17.5,130,47,-,8,4,4,0,0
471,17.5,1317,17.5,130,47,1,8,0.04,4,1,0
471,17.5,1317,17.5,130,47,1,8,0.04,4,1,0
47,_17.5,1317,17.5,130,47,-8,8,0.04,4,0,0
47,17.5,1317,17.5,130,47,-,8,0.04,4,1,0
471,17.5,1317,17.5,130,47,8,8,0.04,4,1,0
471,17.5,1317,17.5,130,47,-,8,0.04,4,1,0
47,17.5,1317,17.5,130,47,-_,8,4,4,1,0
471,17.5,130,17.5,130,47,_00108,8,4,4,.-01,0
471,17.5,1317,17.5,130,47,81,8,4,4,0,0
47,17.5,1317,17.5,130,47,8108,8,4,4,0,0
471,17.5,1317,17.5,130,47,81,8,4,4,0,0
471,17.5,1317,17.5,130,47,0.001,8,4,4,0,0
47,17.5,0.130,17.5,130,47,1,8,4,4,0,0
471,17.5,11317,17.5,130,47,8,8,9,4,0,0
4-11,17.5,1317,17.5,130,47,-,8,4,4,0,0
471,17.5,11301,17.5,130,47,_001_8,8,4,4,0,0
47,17.5,1317,17.5,130,47,1,8,4,4,0,0
471,__17.5,130,17.5,130,47,-8,8,4,4,1,0
471,17.5,130,17.5,130,47,108,8,4,4,1,0
47,17.5,1317,17.5,130,47,-8,8,4,4,0,0
_1,17.5,1130,19.0,159,51,-8,8,4,4,0,0
471,17.5,13,17.5,130,47,-,8,4,4,0,0
471,17,1317,17.5,130,47,-,8,0.04,4,0,0
4,18.2,11,18.2,143,49,-,9,4,4,0,0
491,18.2,11-17,18.2,143,49,81,9,4,4,0,0
491,18.2,14,18.2,143,49,-,9,0.04,4,0,0
49,18.2,114,18.2,143,49,1,9,0.04,4,0,0
49,18.2,11,18.2,143,49,81,9,4,4,0,0
491,18.2,11___,18.2,143,49,_001_5,9,4,4,0,0
491,18.2,1_1_,18.2,143,49,-9,9,4,4,___01,0
491,18.2,11,18.2,143,49,-,9,4,4,1,0
491,18.2,14,18.2,143,49,1,9,4,4,0,0
491,18.2,11-1_,18.2,143,49,1,9,4,4,0,0
491,18.2,14,18.2,143,49,1,9,4,4,0,0
491,18.2,14,18.2,143,49,1,9,4,4,0,0
491,18.2,11,18.2,143,49,1,9,4,4,0,0
491,18.2,1_1_,18.2,143,49,1,9,4,4,0,0
491,0.17999999999999999,11,18.2,143,49,1,9,0.04,4,0,0
491,18.2,11,18.2,143,49,1,9,0.04,4,0,0
491,18.2,11,18.2,143,49,1,9,0.04,4,1,0
49,18.2,11-1_,18.2,143,49,109,9,0.04,4,1,0
491,18.2,14,18.2,143,49,109,9,0.04,4,0,0
491,18.2,11___,18.2,143,49,109,9,0.04,4,0,0
49,18.2,111,18.2,143,49,1,9,0.04,4,0,0
491,18.2,111__.1,18.2,143,49,1,9,4,4,_01,0
49,18.2,11,18.2,143,49,1,9,4,4,0,0
49,18.2,11__.,18.2,143,49,1,9,4,4,1,0
49,18.2,11,18.2,143,49,1,9,9,4,1,0
491,18.2,11,18.2,143,49,1,9,5,5,0,0
491,18.2,11,18.2,143,49,1,9,5,5,0,0
49,18.2,11,18.2,143,49,1,9,5,5,0,0
49,18.2,11,18.2,143,49,001_.1_,10,5,5,0,0
4,18.2,111,18.2,143,49,110,10,5,5,1,0
_0_,18,197,18.6,150,50,110,10,5,5,1,0
5c11,18.6,1517,18.6,150,50,110,10,5,5,1,0
50,18.6,11501,18.6,150,50,110,10,0.05,5,1,0
50,18.6,1517,18.6,150,50,110,10,0.05,5,0,0
501,0.17999999999999999,150,18.6,150,50,110,10,0.05,5,0,0
50,18.6,15,18.6,150,50,110,10,5,5,0,0
50,18.6,150,18.6,150,50,110,10,0.05,5,0,0
50,18.6,150,18.6,150,50,110,10,0.05,5,1,0
501,18.6,1517,18.6,150,50,110,10,0.05,5,.__01,0
50,18.6,1517,18.6,150,50,110,10,0.05,5,0,0
50,18.6,150,18.6,150,50,110,10,0.05,5,0,0
50,18.6,1517,18.6,150,50,11,10,0.05,5,0,0
501,18.6,150,18.6,150,50,110,10,0.05,5,0,0
50,18.6,1517,18.6,150,50,110,10,0.05,5,0,0
501,18.6,1517,18.6,150,50,110,10,5,5,0,0
5,18.6,15,18.6,150,50,110,10,5,5,1,0
5c1_,18.6,150,18.6,150,50,110,10,0.05,5,0,0
50,18.6,1517,18.6,150,50,110,10,0.05,5,1,0
50,18.6,150,18.6,150,50,110,10,5,5,0,0
50,18.6,1517,18.6,150,50,110,10,0.05,5,0,0
50,18.6,150,18.6,150,50,110,10,5,5,0,0
50,18.6,15,18.6,150,50,110,10,0.05,5,0,0
501,18.6,150,18.6,150,50,8110,10,5,5,j__,0
5c1_,18.6,0.150,18.6,150,50,110,10,0.05,5,0,0
5c11,18.6,1517,18.6,150,50,110,10,0.05,5,0,0
5c11,18.6,1517,18.6,150,50,110,10,0.05,5,0,0
501,18.6,1517,18.6,150,50,110,10,0.05,5,1,0
501,..18.6,1517,18.6,150,50,110,10,0.05,5,d1,0
501,18.6,15,18.6,150,50,81.1,11.0,0.05,5,1,0
5.1,19.6,1517,19.0,159,51,111,11.0,5,5,___0_,0
511,19.0,1517,19.0,159,51,111,11.0,5,5,1,0
51,19.0,159,19.0,159,51,111,11.0,5,5,1,0
511,19.0,151,19.0,159,51,8111,11.0,5,5,0,0
511,19,151,19.0,159,51,-,11.0,0.05,5,1,0
0.511,19.0,151,19.0,159,51,111,11.0,u5,5,0,0
_511,19.0,151,19.0,159,51,111,11.0,0.05,5,0,0
511,19.0,151,19.0,159,51,-_1_,11.0,5,5,0,0
511,19.0,151,19.0,159,51,-,11.0,0.05,5,0,0
511,19.0,151,19.0,159,51,811,11.0,5,5,0,0
511,19.0,151,19.0,159,51,1111,11.0,0.05,5,0,0
_11,19.0,151,19.0,159,51,-1,11.0,0.05,5,0,0
51,19,151,19.0,159,51,111,11.0,0.05,5,0,0
511,19.0,151,19.0,159,51,111,11.0,0.05,5,1,0
51,19.0,151,19.0,159,51,1111,11.0,0.05,5,1,0
511,19.0,151,19.0,159,51,-1,11.0,0.05,5,0,0
511,19.0,1517,19.0,159,51,-,11.0,0.05,5,0,0
51,19.0,151,19.0,159,51,8111,11.0,0.06,6,0,0
51,19.0,151,19.0,159,51,111,11.0,0.06,6,0,0
511,19.0,151,19.0,159,51,_00111,11.0,0.06,6,0,0
51,19.0,151,19.0,159,51,8_11,11.0,0.06,6,0,0
51,19.0,151,19.0,159,51,-1,11.0,6,6,0,0
51,19.0,151,19.0,159,51,-1,11.0,6,6,0,0
511,19.0,151,19.0,159,51,-,11.0,0.06,6,0,0
51,19.0,1517,19.0,159,51,-,11.0,6,6,0,0
511,19.0,151,19.0,159,51,111,11.0,6,6,1,0
511,19.0,151,19.0,159,51,-,11.0,6,6,0,0
51,19.0,151,19.0,159,51,-,11.0,0.06,6,0,0
511,19.0,151,19.0,159,51,-__,11.0,0.06,6,0.01,0
511,19.0,159,19.0,159,51,-1,11.0,6,6,0,0
511,19,151,19.0,159,51,-1,11.0,0.06,6,0.1,0
5,19.3,151,19.0,159,51,11,12.0,0.06,6,d1,0
5,19.3,1617,19.3,168,52,11,12.0,0.06,6,0.1,0
521,19.3,169,19.3,168,52,-1,12.0,0.06,6,1-11,1
52,19.3,1.168,19.3,168,52,11,12.0,0.06,6,11,1
52,19.3,161,19.3,168,52,11,12.0,6,6,1,1
521,19.3,161,19.3,168,52,11,12.0,6,6,11,1
52,19.3,161,19.3,168,52,11,12.0,6,6,11,1
52,19.3,161,19.3,168,52,_0011_1,12.0,0.06,6,11,1
521,19.3,16,19.3,168,52,-,12.0,6,6,1,1
521,19.3,1617,19.3,168,52,-_1,12.0,6,6,j.1,1
521,19.3,16,19.3,168,52,-,12.0,6,6,11,1
521,19.3,16,19.3,168,52,-,12.0,0.06,6,1,1
521,19.3,161,19.3,168,52,-,12,0.06,6,1,1
521,19.3,161,19.3,168,52,-,12,0.06,6,1,1
52,19.3,161,19.3,168,52,12,12,0.06,6,1,1
521,19.3,161,19.3,168,52,1.2,12,0.06,6,11,1
_1,19.3,161,19.0,159,51,-,12,0.06,6,11,1
__,19.3,1617,19.3,168,52,-,12,0.06,6,11,1
521,19.3,168,19.3,168,52,11.2,12,0.06,6,1,1
521,19.3,0.168,19.3,168,52,-1,12,0.06,6,1,1
521,19.3,169,19.3,168,52,11,12,0.06,6,11,1
521,19.3,161,19.3,168,52,11,12,0.06,6,11,1
521,19.3,161,19.3,168,52,11,12,0.06,6,j1,1
52,19.3,161,19.3,168,52,11,12,0.06,6,11,1
81,19.3,168,19.0,159,51,11,12,6,6,11,1
521,19.3,1617,19.3,168,52,81,12,0.06,6,11,1
_1,19.3,161,19.0,159,51,811.2,12,6,6,11,1
521,19.3,161,19.3,168,52,11,12,6,6,11,1
521,19.3,161,19.3,168,52,11,12,6,6,1,1
521,19.3,161,19.3,168,52,113,13,6,6,11,1
52,19.3,161,19.3,168,52,113,13,6,6,_11,1
52,19.3,161,19.3,168,52,80113,13,0.06,6,11,1
521,19.3,161,19.3,168,52,11,13,0.06,6,1,1
521,19.3,161,19.3,168,52,113,13,6,6,11,1
52,19.3,161,19.3,168,52,113,13,6,6,11,1
52,8,16,18.6,150,50,113,13,6,6,11,1
52,19.3,161,19.3,168,52,113,13,0.06,6,1,1
521,19.3,161,19.3,168,52,113,13,0.06,6,11,1
521,19.3,161,19.3,168,52,113,13,6,6,1,1
521,19.3,161,19.3,168,52,113,13,6,6,11,1
521,19.3,161,19.3,168,52,113,13,6,6,1,1
52,19.3,161,19.3,168,52,113,13,7,7,11,1
52,0.1913,161,19.3,168,52,11.3,13,7,7,11,1
52,19.3,0.16,19.3,168,52,113,13,7,7,11,1
52,19.3,161,19.3,168,52,113,13,7,7,11,1
521,19.3,16,19.3,168,52,113,13,7,7,11,1
52,19.3,161,19.3,168,52,8113,13,7,7,11,1
52,19.3,161,19.3,168,52,113,13,7,7,1,1
521,19.3,161,19.3,168,52,113,13,0.07,7,11,1
__521,19.3,1617,19.3,168,52,11.3,13,7,7,-11,1
521,19.3,161,19.3,168,52,811,13,0.07,7,1,1
_52_,19.3,16,19.3,168,52,-3,13,7,7,1,1
521,19.3,161,19.3,168,52,113,13,7,7,1,1
52,19.3,161,19.3,168,52,113,13,7,7,11,1
52,19.3,161,19.3,168,52,-,13,7,7,1,1
521,19.3,1617,19.3,168,52,113,13,7,7,.-11,1
521,19.3,161,19.3,168,52,113,13,7,7,j.1,1
521,19.3,1617,19.3,168,52,11,14,7,7,11,1
521,19.3,161,19.3,168,52,114,14,7,7,j_1,1
5,19.7,168,19.3,168,52,11,14,7,7,11,1
531,19.7,171,19.7,178,53,114,14,7,7,11,1
531,19.7,179,19.7,178,53,114,14,7,7,1,1
531,19.7,1717,19.7,178,53,u14,14,7,7,11,1
531,19.7,171,19.7,178,53,114,14,0.07,7,11,1
531,19.7,171,19.7,178,53,8114,14,7,7,11,1
5,19.7,1717,19.7,178,53,114,14,7,7,1,1
5,19.7,171,19.7,178,53,8_14,14,7,7,11,1
531,19.7,179,19.7,178,53,811.4,14,7,7,11,1
531,19.7,171,19.7,178,53,114,14,7,7,11,1
53,19.7,179,19.7,178,53,__00114,14,0.07,7,11,1
531,19.7,171,19.7,178,53,814,14,7,7,11,1
531,19.7,171,19.7,178,53,114,14,0..07,7,_11,1
531,19.7,17,19.7,178,53,8114,14,0.07,7,1,1
5,19.7,1717,19.7,178,53,111,14,0.07,7,1,1
131,19.7,171,19.7,178,53,114,14,7,7,j__1,1
531,19.7,171,19.7,178,53,8111,14,.u7,7,11,1
531,19.7,171,19.7,178,53,114,14,7,7,11,1
531,19.7,179,19.7,178,53,114,14,7,7,11,1
j31,19.7,171,19.7,178,53,11.4,14,7,7,.__1_,1
531,19,171,19.7,178,53,811,14,7,7,1,1
531,19.7,171,19.7,178,53,-,14,7,7,1,1
5,19.7,1717,19.7,178,53,114,14,0.07,7,11,1
53,19.7,171,19.7,178,53,114,14,0.07,7,11,1
531,19.7,171,19.7,178,53,1114,14,0.07,7,11,1
53,19.7,171,19.7,178,53,1114,14,0.07,7,11,1
53,19.7,17,19.7,178,53,4,14,0.07,7,j_1,1
53,19.7,171,19.7,178,53,11,14,0.07,7,11,1
5,19.7,171,19.7,178,53,-,14,0.07,7,-_11,1
5,_0,17.7,19.0,159,51,-,14,0.07,7,___11,1
51,20.1,187,20.1,187,54,-,15,0.07,7,11,1
j1_1,20.1,187,15.2,89,41,-,15,0.07,7,11,1
541,20.1,187,20.1,187,54,115,15,0.07,7,11,1
_1,20.1,187,15.2,89,41,-5,15,0.07,7,.-_11,1
54,20.1,187,20.1,187,54,115,15,0.07,7,11,1
541,20.1,187,20.1,187,54,115,15,7,7,1,1
541,20.1,187,20.1,187,54,115,15,0,7,j.1,1
54,20.1,187,20.1,187,54,115,15,9,8,1,1
541,20.1,187,20.1,187,54,115,15,8,8,1,1
541,20.1,187,20.1,187,54,115,15,8,8,j1,1
541,20.1,187,20.1,187,54,115,15,8,8,1,1
54,20.1,187,20.1,187,54,115,15,8,8,1,1
